Date,Power Output (Watts)
19/05/2025 02:00:00,0
19/05/2025 03:00:00,82
19/05/2025 04:00:00,918
19/05/2025 05:00:00,4025
19/05/2025 06:00:00,10617
19/05/2025 07:00:00,15826
19/05/2025 08:00:00,19464
19/05/2025 09:00:00,22311
19/05/2025 10:00:00,21717
19/05/2025 11:00:00,21997
19/05/2025 12:00:00,20537
19/05/2025 13:00:00,21804
19/05/2025 14:00:00,19098
19/05/2025 15:00:00,14235
19/05/2025 16:00:00,9000
19/05/2025 17:00:00,3808
19/05/2025 18:00:00,1016
19/05/2025 19:00:00,153
19/05/2025 20:00:00,0
19/05/2025 21:00:00,0
19/05/2025 22:00:00,0
19/05/2025 23:00:00,0
20/05/2025 00:00:00,0
20/05/2025 01:00:00,0
20/05/2025 02:00:00,0
20/05/2025 03:00:00,70
20/05/2025 04:00:00,1147
20/05/2025 05:00:00,3792
20/05/2025 06:00:00,9813
20/05/2025 07:00:00,16078
20/05/2025 08:00:00,20854
20/05/2025 09:00:00,9411
20/05/2025 10:00:00,16696
20/05/2025 11:00:00,18018
20/05/2025 12:00:00,21385
20/05/2025 13:00:00,18703
20/05/2025 14:00:00,16728
20/05/2025 15:00:00,13499
20/05/2025 16:00:00,7954
20/05/2025 17:00:00,2550
20/05/2025 18:00:00,1114
20/05/2025 19:00:00,141
20/05/2025 20:00:00,0
20/05/2025 21:00:00,0
20/05/2025 22:00:00,0
20/05/2025 23:00:00,0
21/05/2025 00:00:00,0
21/05/2025 01:00:00,0
21/05/2025 02:00:00,0
21/05/2025 03:00:00,149
21/05/2025 04:00:00,1089
21/05/2025 05:00:00,4678
21/05/2025 06:00:00,10505
21/05/2025 07:00:00,12193
21/05/2025 08:00:00,16652
21/05/2025 09:00:00,20404
21/05/2025 10:00:00,17190
21/05/2025 11:00:00,17952
21/05/2025 12:00:00,18114
21/05/2025 13:00:00,21325
21/05/2025 14:00:00,16243
21/05/2025 15:00:00,8007
21/05/2025 16:00:00,4033
21/05/2025 17:00:00,2398
21/05/2025 18:00:00,600
21/05/2025 19:00:00,21
21/05/2025 20:00:00,0
21/05/2025 21:00:00,0
21/05/2025 22:00:00,0
21/05/2025 23:00:00,0
22/05/2025 00:00:00,0
22/05/2025 01:00:00,0
22/05/2025 02:00:00,0
22/05/2025 03:00:00,46
22/05/2025 04:00:00,774
22/05/2025 05:00:00,2984
22/05/2025 06:00:00,4954
22/05/2025 07:00:00,7604
22/05/2025 08:00:00,7992
22/05/2025 09:00:00,8806
22/05/2025 10:00:00,7505
22/05/2025 11:00:00,11425
22/05/2025 12:00:00,16119
22/05/2025 13:00:00,10521
22/05/2025 14:00:00,16653
22/05/2025 15:00:00,10528
22/05/2025 16:00:00,6859
22/05/2025 17:00:00,4485
22/05/2025 18:00:00,1338
22/05/2025 19:00:00,225
22/05/2025 20:00:00,0
22/05/2025 21:00:00,0
22/05/2025 22:00:00,0
22/05/2025 23:00:00,0
23/05/2025 00:00:00,0
23/05/2025 01:00:00,0
23/05/2025 02:00:00,0
23/05/2025 03:00:00,102
23/05/2025 04:00:00,1051
23/05/2025 05:00:00,4786
23/05/2025 06:00:00,7292
23/05/2025 07:00:00,10490
23/05/2025 08:00:00,11768
23/05/2025 09:00:00,16099
23/05/2025 10:00:00,11416
23/05/2025 11:00:00,13811
23/05/2025 12:00:00,12624
23/05/2025 13:00:00,11179
23/05/2025 14:00:00,13862
23/05/2025 15:00:00,9683
23/05/2025 16:00:00,8229
23/05/2025 17:00:00,4961
23/05/2025 18:00:00,932
23/05/2025 19:00:00,173
23/05/2025 20:00:00,0
23/05/2025 21:00:00,0
