time,temperature_2m (°C),relative_humidity_2m (%),dew_point_2m (°C),apparent_temperature (°C),cloud_cover (%),wind_speed_10m (km/h),wind_direction_10m (°),shortwave_radiation (W/m²)
19/05/25 12:00 AM,8.7,83,6.0,,12,7.2,240,0.0
19/05/25 01:00 AM,9.9,81,6.8,,0,7.6,230,0.0
19/05/25 02:00 AM,7.5,90,6.0,,0,6.1,220,0.0
19/05/25 03:00 AM,8.0,89,6.4,,0,4.0,170,0.0
19/05/25 04:00 AM,7.4,92,6.2,,0,3.6,170,1.0
19/05/25 05:00 AM,8.9,84,6.4,,0,4.3,130,48.0
19/05/25 06:00 AM,11.5,78,7.9,,0,4.7,80,182.0
19/05/25 07:00 AM,13.1,71,8.0,,0,6.8,100,347.0
19/05/25 08:00 AM,15.2,60,7.4,,0,9.7,90,502.0
19/05/25 09:00 AM,17.0,49,6.2,,0,12.6,90,664.0
19/05/25 10:00 AM,17.7,44,5.4,,12,16.2,80,791.0
19/05/25 11:00 AM,18.2,45,5.9,,12,18.0,70,793.0
19/05/25 12:00 PM,18.5,39,4.4,,0,16.9,70,916.0
19/05/25 01:00 PM,19.7,40,5.9,,12,14.8,80,866.0
19/05/25 02:00 PM,19.5,37,4.3,,0,15.8,70,829.0
19/05/25 03:00 PM,20.4,35,4.4,,0,16.2,60,719.0
19/05/25 04:00 PM,19.7,36,4.3,,0,16.6,70,580.0
19/05/25 05:00 PM,20.0,38,5.2,,25,15.8,60,414.0
19/05/25 06:00 PM,19.1,37,4.3,,50,13.3,40,239.0
19/05/25 07:00 PM,18.1,40,4.3,,100,9.7,40,83.0
19/05/25 08:00 PM,17.3,41,4.0,,100,9.7,40,13.0
19/05/25 09:00 PM,16.9,44,4.6,,100,11.2,50,0.0
19/05/25 10:00 PM,16.2,47,5.0,,100,10.8,50,0.0
19/05/25 11:00 PM,12.9,61,5.5,,75,8.3,70,0.0
20/05/25 12:00 AM,11.7,65,5.3,,75,7.2,90,0.0
20/05/25 01:00 AM,10.3,73,5.7,,100,10.1,100,0.0
20/05/25 02:00 AM,10.0,74,5.7,,75,9.0,110,0.0
20/05/25 03:00 AM,10.0,75,5.7,,100,8.3,110,0.0
20/05/25 04:00 AM,9.3,77,5.5,,100,8.3,90,2.0
20/05/25 05:00 AM,9.6,79,6.1,,62,8.3,90,32.0
20/05/25 06:00 AM,13.7,65,7.2,,87,9.4,90,192.0
20/05/25 07:00 AM,16.1,60,8.3,,75,10.1,90,336.0
20/05/25 08:00 AM,17.7,55,8.5,,87,10.1,70,509.0
20/05/25 09:00 AM,19.5,45,7.2,,100,10.4,50,652.0
20/05/25 10:00 AM,19.5,45,7.2,,12,13.0,60,785.0
20/05/25 11:00 AM,20.2,43,7.2,,50,11.5,60,805.0
20/05/25 12:00 PM,20.9,40,6.9,,37,10.8,30,860.0
20/05/25 01:00 PM,21.3,42,7.9,,25,11.5,20,604.0
20/05/25 02:00 PM,20.6,40,6.6,,50,11.2,30,737.0
20/05/25 03:00 PM,20.8,37,5.6,,87,10.1,20,415.0
20/05/25 04:00 PM,21.0,42,7.5,,87,10.8,360,466.0
20/05/25 05:00 PM,20.7,41,6.9,,87,9.4,10,301.0
20/05/25 06:00 PM,19.9,45,7.5,,87,10.4,360,161.0
20/05/25 07:00 PM,18.7,49,7.7,,87,8.6,10,60.0
20/05/25 08:00 PM,17.1,49,6.2,,100,16.2,360,6.0
20/05/25 09:00 PM,14.2,61,6.7,,100,11.9,340,0.0
20/05/25 10:00 PM,13.3,64,6.7,,100,6.8,310,0.0
20/05/25 11:00 PM,11.5,73,6.8,,100,4.7,280,0.0
21/05/25 12:00 AM,12.0,71,6.9,,100,5.0,270,0.0
21/05/25 01:00 AM,11.0,75,6.8,,87,6.8,290,0.0
21/05/25 02:00 AM,9.7,81,6.5,,100,5.0,270,0.0
21/05/25 03:00 AM,9.7,82,6.7,,87,5.0,260,0.0
21/05/25 04:00 AM,8.7,87,6.7,,50,7.2,250,2.0
21/05/25 05:00 AM,9.4,86,7.3,,100,6.5,260,62.0
21/05/25 06:00 AM,11.2,84,8.7,,100,4.7,250,214.0
21/05/25 07:00 AM,12.7,78,8.9,,100,4.7,250,287.0
21/05/25 08:00 AM,13.2,73,8.5,,100,6.1,270,288.0
21/05/25 09:00 AM,14.7,64,8.1,,100,9.4,300,497.0
21/05/25 10:00 AM,16.2,52,6.2,,100,8.6,310,746.0
21/05/25 11:00 AM,16.9,46,5.1,,100,10.4,310,522.0
21/05/25 12:00 PM,17.9,52,7.8,,100,10.1,300,589.0
21/05/25 01:00 PM,17.2,48,6.0,,87,11.9,310,758.0
21/05/25 02:00 PM,18.2,38,3.7,,87,13.3,320,718.0
21/05/25 03:00 PM,18.3,39,4.0,,87,14.4,300,549.0
21/05/25 04:00 PM,17.7,38,3.2,,87,13.7,300,292.0
21/05/25 05:00 PM,17.4,43,4.6,,87,13.0,310,273.0
21/05/25 06:00 PM,16.6,47,5.2,,87,15.1,330,128.0
21/05/25 07:00 PM,15.9,53,6.3,,100,14.8,330,38.0
21/05/25 08:00 PM,14.2,65,7.7,,100,18.7,330,4.0
21/05/25 09:00 PM,12.0,77,8.1,,87,16.9,340,0.0
21/05/25 10:00 PM,10.4,78,6.8,,100,15.8,330,0.0
21/05/25 11:00 PM,9.5,79,6.1,,100,13.0,330,0.0
22/05/25 12:00 AM,8.5,84,6.0,,100,10.8,310,0.0
22/05/25 01:00 AM,8.3,84,5.7,,100,9.4,300,0.0
22/05/25 02:00 AM,7.8,85,5.4,,100,8.6,310,0.0
22/05/25 03:00 AM,7.5,87,5.5,,87,7.9,300,0.0
22/05/25 04:00 AM,7.2,88,5.3,,87,7.9,320,1.0
22/05/25 05:00 AM,8.0,85,5.6,,87,6.5,320,27.0
22/05/25 06:00 AM,8.7,83,6.0,,87,6.8,300,127.0
22/05/25 07:00 AM,9.5,80,6.3,,87,8.6,300,196.0
22/05/25 08:00 AM,10.9,68,5.2,,87,16.6,320,320.0
22/05/25 09:00 AM,11.2,65,4.9,,100,18.4,310,213.0
22/05/25 10:00 AM,10.9,63,4.2,,100,18.7,310,398.0
22/05/25 11:00 AM,11.2,71,6.2,,100,20.9,310,320.0
22/05/25 12:00 PM,11.3,74,6.8,,62,18.7,310,448.0
22/05/25 01:00 PM,13.3,60,5.7,,75,19.4,280,719.0
22/05/25 02:00 PM,14.2,54,5.0,,50,24.1,290,584.0
22/05/25 03:00 PM,14.6,37,0.2,,37,22.3,310,558.0
22/05/25 04:00 PM,14.4,35,-0.8,,25,23.0,320,535.0
22/05/25 05:00 PM,14.0,34,-1.4,,37,22.3,320,381.0
22/05/25 06:00 PM,12.5,42,-0.1,,12,22.7,330,273.0
22/05/25 07:00 PM,11.1,51,1.4,,25,20.2,320,100.0
22/05/25 08:00 PM,8.9,59,1.4,,75,16.9,330,15.0
22/05/25 09:00 PM,6.9,66,1.0,,0,9.4,300,0.0
22/05/25 10:00 PM,5.6,72,1.0,,0,7.6,280,0.0
22/05/25 11:00 PM,5.5,73,1.1,,0,7.9,270,0.0
23/05/25 12:00 AM,4.7,79,1.3,,37,9.0,260,0.0
