Date,Produced Energy (kWh),Specific Energy (kWh/kWp),CO2 Avoided (tons)
01/01/2019 00:00:00,0,0, 
01/01/2019 01:00:00,0,0, 
01/01/2019 02:00:00,0,0, 
01/01/2019 03:00:00,0,0, 
01/01/2019 04:00:00,0,0, 
01/01/2019 05:00:00,0,0, 
01/01/2019 06:00:00,0,0, 
01/01/2019 07:00:00,0,0, 
01/01/2019 08:00:00,0,0, 
01/01/2019 09:00:00,0.5,0.03,0
01/01/2019 10:00:00,1,0.06,0
01/01/2019 11:00:00,4,0.25,0
01/01/2019 12:00:00,7.75,0.47,0
01/01/2019 13:00:00,9,0.55,0
01/01/2019 14:00:00,9,0.55,0
01/01/2019 15:00:00,7.5,0.46,0
01/01/2019 16:00:00,5.5,0.34,0
01/01/2019 17:00:00,2,0.12,0
01/01/2019 18:00:00,0,0, 
01/01/2019 19:00:00,0,0, 
01/01/2019 20:00:00,0,0, 
01/01/2019 21:00:00,0,0, 
01/01/2019 22:00:00,0,0, 
01/01/2019 23:00:00,0,0, 
01/02/2019 00:00:00,0,0, 
01/02/2019 01:00:00,0,0, 
01/02/2019 02:00:00,0,0, 
01/02/2019 03:00:00,0,0, 
01/02/2019 04:00:00,0,0, 
01/02/2019 05:00:00,0,0, 
01/02/2019 06:00:00,0,0, 
01/02/2019 07:00:00,0,0, 
01/02/2019 08:00:00,0,0, 
01/02/2019 09:00:00,0.5,0.03,0
01/02/2019 10:00:00,0.75,0.05,0
01/02/2019 11:00:00,4,0.25,0
01/02/2019 12:00:00,7.75,0.47,0
01/02/2019 13:00:00,9,0.55,0
01/02/2019 14:00:00,9.25,0.57,0
01/02/2019 15:00:00,8,0.49,0
01/02/2019 16:00:00,5.5,0.34,0
01/02/2019 17:00:00,2.25,0.14,0
01/02/2019 18:00:00,0,0, 
01/02/2019 19:00:00,0,0, 
01/02/2019 20:00:00,0,0, 
01/02/2019 21:00:00,0,0, 
01/02/2019 22:00:00,0,0, 
01/02/2019 23:00:00,0,0, 
01/03/2019 00:00:00,0,0, 
01/03/2019 01:00:00,0,0, 
01/03/2019 02:00:00,0,0, 
01/03/2019 03:00:00,0,0, 
01/03/2019 04:00:00,0,0, 
01/03/2019 05:00:00,0,0, 
01/03/2019 06:00:00,0,0, 
01/03/2019 07:00:00,0,0, 
01/03/2019 08:00:00,0,0, 
01/03/2019 09:00:00,0.25,0.02,0
01/03/2019 10:00:00,1.25,0.08,0
01/03/2019 11:00:00,2.75,0.17,0
01/03/2019 12:00:00,2.75,0.17,0
01/03/2019 13:00:00,2.75,0.17,0
01/03/2019 14:00:00,4.25,0.26,0
01/03/2019 15:00:00,5,0.31,0
01/03/2019 16:00:00,4,0.25,0
01/03/2019 17:00:00,1,0.06,0
01/03/2019 18:00:00,0,0, 
01/03/2019 19:00:00,0,0, 
01/03/2019 20:00:00,0,0, 
01/03/2019 21:00:00,0,0, 
01/03/2019 22:00:00,0,0, 
01/03/2019 23:00:00,0,0, 
01/04/2019 00:00:00,0,0, 
