time,temperature_2m (°C),relative_humidity_2m (%),dew_point_2m (°C),apparent_temperature (°C),cloud_cover (%),wind_speed_10m (km/h),wind_direction_10m (°),shortwave_radiation (W/m²)
01/01/19 12:00 AM,12.2,67,6.2,9.6,7,11.5,41,0
01/01/19 01:00 AM,12.3,66,6.2,9.3,3,14.1,50,0
01/01/19 02:00 AM,11.9,67,5.9,8.9,1,13.8,51,0
01/01/19 03:00 AM,11.4,67,5.4,8.1,4,14.8,45,0
01/01/19 04:00 AM,11.1,66,4.9,7.8,17,13.7,35,0
01/01/19 05:00 AM,10.9,66,4.7,8,26,11.4,28,0
01/01/19 06:00 AM,10.9,66,4.7,8,15,10.7,33,0
01/01/19 07:00 AM,10.9,66,4.7,8,19,10.8,37,0
01/01/19 08:00 AM,11,64,4.5,8,17,11.7,43,1
01/01/19 09:00 AM,12.7,59,4.9,9.7,9,12.1,53,80
01/01/19 10:00 AM,14.6,51,4.5,11.7,0,10.6,66,235
01/01/19 11:00 AM,15.8,46,4.1,12.8,7,10.8,75,376
01/01/19 12:00 PM,16.1,47,4.7,13.3,0,10.1,88,466
01/01/19 01:00 PM,16.4,46,4.7,13.6,0,10.1,92,504
01/01/19 02:00 PM,16.5,45,4.6,13.7,0,9.7,94,478
01/01/19 03:00 PM,16.3,45,4.4,13.7,0,9,95,395
01/01/19 04:00 PM,16,46,4.2,13.5,0,7.6,90,263
01/01/19 05:00 PM,14.5,57,6.2,12.8,0,4.7,90,107
01/01/19 06:00 PM,13.3,64,6.5,11.6,0,5.5,79,5
01/01/19 07:00 PM,11.7,70,6.4,10.1,0,4.2,329,0
01/01/19 08:00 PM,11.1,68,5.4,8.8,0,7.8,326,0
01/01/19 09:00 PM,10.1,73,5.4,7.7,4,8.2,331,0
01/01/19 10:00 PM,9,78,5.3,7,13,5.6,333,0
01/01/19 11:00 PM,8.2,77,4.4,6.1,14,5.5,328,0
01/02/19 12:00 AM,8,72,3.3,5.9,0,3.8,343,0
01/02/19 01:00 AM,8.1,70,3,6,0,3.4,342,0
01/02/19 02:00 AM,7.8,71,2.9,5.7,0,3.4,342,0
01/02/19 03:00 AM,7.7,72,3,5.5,0,3.8,343,0
01/02/19 04:00 AM,7.6,73,3,5.2,0,5.2,344,0
01/02/19 05:00 AM,8.2,70,3.1,5.7,0,6.6,351,0
01/02/19 06:00 AM,8.6,70,3.4,6.1,0,6.5,357,0
01/02/19 07:00 AM,7.5,77,3.8,5,0,7.2,3,0
01/02/19 08:00 AM,7.3,79,3.8,4.6,0,8,8,1
01/02/19 09:00 AM,11.2,67,5.4,9.7,0,2.9,360,85
01/02/19 10:00 AM,14.1,58,5.9,13,0,0.5,315,242
01/02/19 11:00 AM,16,50,5.6,14.7,0,1.8,217,381
01/02/19 12:00 PM,17.3,44,4.9,15.2,0,5.9,227,474
01/02/19 01:00 PM,17.7,45,5.5,15.3,0,8.9,230,509
01/02/19 02:00 PM,17.4,48,6.3,14.9,0,10.5,243,484
01/02/19 03:00 PM,17,51,6.7,14.4,0,11.7,252,401
01/02/19 04:00 PM,16.2,58,7.9,13.8,0,12.6,257,268
01/02/19 05:00 PM,15,67,9,13,0,11.7,261,110
01/02/19 06:00 PM,13.7,77,9.6,12.4,0,7.9,300,6
01/02/19 07:00 PM,11.5,77,7.5,9.9,0,6.6,351,0
01/02/19 08:00 PM,12.9,59,5.2,10.8,0,5.8,7,0
01/02/19 09:00 PM,12.7,59,5,11.3,0,0.8,243,0
01/02/19 10:00 PM,12.1,65,5.7,10.8,0,1.6,243,0
01/02/19 11:00 PM,10.6,71,5.6,8.8,0,4.7,337,0
01/03/19 12:00 AM,7,83,4.3,4.5,0,8,355,0
01/03/19 01:00 AM,7.8,79,4.4,5.7,0,5.2,12,0
01/03/19 02:00 AM,8.3,78,4.6,6.6,0,3,14,0
01/03/19 03:00 AM,7.8,78,4.3,6.1,0,2.2,360,0
01/03/19 04:00 AM,7.9,75,3.6,5.8,0,3.8,343,0
01/03/19 05:00 AM,7.7,72,3.1,5.5,1,4,350,0
01/03/19 06:00 AM,7,74,2.6,4.5,1,5.6,27,0
01/03/19 07:00 AM,7.7,73,3.3,5.3,5,6.1,50,0
01/03/19 08:00 AM,8.5,73,4,5.7,8,9.7,51,1
01/03/19 09:00 AM,9.7,74,5.3,6.7,17,12.6,59,83
01/03/19 10:00 AM,11.1,73,6.5,8.3,0,13,71,242
01/03/19 11:00 AM,12,72,7.1,9.3,0,13.4,76,384
01/03/19 12:00 PM,12,81,8.9,9.9,51,12.3,75,477
01/03/19 01:00 PM,12.9,80,9.6,11.5,60,8.8,71,398
01/03/19 02:00 PM,13.9,77,9.9,13,40,6.1,93,389
01/03/19 03:00 PM,14.4,76,10.2,13.6,69,6,107,320
01/03/19 04:00 PM,14.3,79,10.8,13.3,60,8.7,97,212
01/03/19 05:00 PM,13.5,86,11.2,12.2,90,11.2,69,81
01/03/19 06:00 PM,13.4,87,11.3,12.3,69,9.9,33,3
01/03/19 07:00 PM,13,89,11.2,12.4,54,6.2,69,0
01/03/19 08:00 PM,14,79,10.5,12.8,52,9.2,141,0
01/03/19 09:00 PM,14.3,71,9.1,12.7,29,8.9,148,0
01/03/19 10:00 PM,14.5,71,9.3,12.9,35,9.4,133,0
01/03/19 11:00 PM,14.2,83,11.3,11.9,59,18.3,122,0
01/04/19 12:00 AM,14.5,77,10.5,12,74,18.6,122,0
01/04/19 01:00 AM,14.2,75,9.9,11.6,46,17.9,120,0
01/04/19 02:00 AM,14.1,73,9.3,11.5,17,16.3,118,0
01/04/19 03:00 AM,13.5,73,8.9,11,6,15.3,99,0
01/04/19 04:00 AM,12.6,82,9.5,10.5,5,13.4,76,0
01/04/19 05:00 AM,11.8,90,10.3,9.8,88,14.3,62,0
01/04/19 06:00 AM,11.8,84,9.2,9.4,18,14.9,53,0
01/04/19 07:00 AM,10.9,80,7.6,8,2,15.8,49,0
01/04/19 08:00 AM,10.3,81,7.2,7,1,17.4,52,1
01/04/19 09:00 AM,11.1,77,7.3,7.8,1,18,53,81
01/04/19 10:00 AM,12.3,73,7.6,9.1,1,17.8,58,236
01/04/19 11:00 AM,13.5,70,8.1,10.5,0,16.9,63,375
01/04/19 12:00 PM,15.2,61,7.7,12.3,0,15.6,71,468
01/04/19 01:00 PM,15.6,60,7.8,12.7,9,15.9,77,506
01/04/19 02:00 PM,15.7,60,7.9,12.9,11,14.9,83,482
01/04/19 03:00 PM,15.5,61,7.9,13.1,18,12.7,83,400
01/04/19 04:00 PM,15,63,7.9,12.9,15,10.6,80,269
01/04/19 05:00 PM,13.8,70,8.5,12.2,6,8,63,114
01/04/19 06:00 PM,12.7,76,8.5,11,25,8.7,38,7
01/04/19 07:00 PM,12.1,76,7.9,10,25,10.5,27,0
01/04/19 08:00 PM,11.9,72,7.1,9.5,15,11.4,24,0
01/04/19 09:00 PM,11.6,74,7.1,9.3,2,10.9,27,0
01/04/19 10:00 PM,11.2,76,7.1,8.9,0,10.5,22,0
01/04/19 11:00 PM,11,75,6.8,8.6,0,11.3,22,0
01/05/19 12:00 AM,11.1,74,6.6,8.8,0,9.8,28,0
01/05/19 01:00 AM,11,72,6.2,8.6,0,10.3,36,0
01/05/19 02:00 AM,10.8,72,5.9,8.1,0,11.2,40,0
01/05/19 03:00 AM,10.5,71,5.5,7.6,0,11.8,38,0
01/05/19 04:00 AM,10.2,71,5.1,7.3,0,11.7,34,0
01/05/19 05:00 AM,9.9,71,5,7.1,0,11.1,36,0
01/05/19 06:00 AM,10,72,5.1,6.9,0,12.5,46,0
01/05/19 07:00 AM,10,72,5.3,6.7,0,14.8,51,0
01/05/19 08:00 AM,9.9,72,5.2,6.6,0,14.8,49,1
01/05/19 09:00 AM,11.1,67,5.3,7.6,0,16.4,52,84
01/05/19 10:00 AM,12.5,60,5,8.8,0,17.4,60,244
01/05/19 11:00 AM,13.6,57,5.2,10,0,16.6,68,385
01/05/19 12:00 PM,14.1,57,5.8,11,0,14,72,481
01/05/19 01:00 PM,14.8,54,5.6,11.9,0,12.7,75,519
01/05/19 02:00 PM,15.2,51,5.3,12.3,0,11.9,85,496
01/05/19 03:00 PM,15.1,52,5.4,12.4,0,10.5,96,413
01/05/19 04:00 PM,14.5,55,5.5,12.2,0,8.5,102,281
01/05/19 05:00 PM,13.2,63,6.3,11.3,0,6.5,87,121
01/05/19 06:00 PM,12,70,6.6,10.2,0,6.5,56,8
01/05/19 07:00 PM,11.2,76,7,9.5,0,6.4,27,0
01/05/19 08:00 PM,10.7,72,5.9,8.5,0,7.8,13,0
01/05/19 09:00 PM,10.4,67,4.6,7.8,0,8.8,12,0
01/05/19 10:00 PM,10.5,66,4.4,7.8,0,9.3,16,0
01/05/19 11:00 PM,10.4,64,3.8,7.5,0,9.9,19,0
01/06/19 12:00 AM,10.5,63,3.8,7.6,0,10,13,0
01/06/19 01:00 AM,10.3,64,3.7,7.4,0,9.4,7,0
01/06/19 02:00 AM,10,65,3.7,7.3,0,8.7,5,0
01/06/19 03:00 AM,9.7,66,3.6,7.1,0,7.6,3,0
01/06/19 04:00 AM,8.6,71,3.5,5.9,0,8,5,0
01/06/19 05:00 AM,7.4,74,3,4.3,0,9.8,352,0
01/06/19 06:00 AM,6.7,76,2.7,4.1,0,6.3,329,0
01/06/19 07:00 AM,5.9,79,2.4,3.4,0,5.1,321,0
01/06/19 08:00 AM,6.5,72,1.9,4.2,0,3.8,343,1
01/06/19 09:00 AM,10,63,3.2,8.3,0,1.1,18,86
01/06/19 10:00 AM,13.6,56,4.9,11.9,0,3,104,248
01/06/19 11:00 AM,15.2,54,6,13.6,0,4,117,390
01/06/19 12:00 PM,16,54,6.6,14.5,0,3.8,163,486
01/06/19 01:00 PM,16.6,55,7.4,15.1,0,5.8,187,523
01/06/19 02:00 PM,16.7,56,8,15,0,8.5,208,498
01/06/19 03:00 PM,16.6,55,7.6,14.4,0,11.2,225,414
01/06/19 04:00 PM,16,53,6.3,13.3,0,11.8,232,282
01/06/19 05:00 PM,14.4,62,7.3,12.4,0,9,254,122
