time,temperature_2m (°C),relative_humidity_2m (%),dew_point_2m (°C),apparent_temperature (°C),cloud_cover (%),wind_speed_10m (km/h),wind_direction_10m (°),shortwave_radiation (W/m²)
01/01/19 12:00 AM,9.8,85,7.4,8,0,8.1,32,0
01/01/19 01:00 AM,9.1,87,7,7.1,0,8,36,0
01/01/19 02:00 AM,8.8,88,6.8,6.7,0,8.3,34,0
01/01/19 03:00 AM,8.5,88,6.6,6.3,0,9,37,0
01/01/19 04:00 AM,8.3,88,6.4,5.9,0,10.2,39,0
01/01/19 05:00 AM,8,89,6.2,5.5,0,10.4,44,0
01/01/19 06:00 AM,7.7,89,6,5.1,0,11.2,45,0
01/01/19 07:00 AM,7.4,88,5.6,4.7,0,10.9,44,0
01/01/19 08:00 AM,7.3,87,5.3,4.7,1,9.7,45,0
01/01/19 09:00 AM,8.5,80,5.3,5.7,21,11.5,46,57
01/01/19 10:00 AM,9.7,75,5.5,7,17,10.7,50,202
01/01/19 11:00 AM,10.8,72,5.9,8.3,13,9.7,51,336
01/01/19 12:00 PM,11.9,68,6.3,9.5,0,9.8,54,430
01/01/19 01:00 PM,12.9,66,6.6,10.7,0,9.6,56,475
01/01/19 02:00 PM,13.7,64,7,11.7,0,7.8,56,456
01/01/19 03:00 PM,14.2,63,7.2,12.6,0,5.6,63,379
01/01/19 04:00 PM,13.9,66,7.8,12.6,0,5.1,86,254
01/01/19 05:00 PM,10.8,84,8.2,9.4,0,6.7,106,105
01/01/19 06:00 PM,12.1,73,7.4,10.9,0,3.2,90,5
01/01/19 07:00 PM,11.2,78,7.5,10.1,0,3.1,306,0
01/01/19 08:00 PM,7,93,5.9,4.9,0,7.4,321,0
01/01/19 09:00 PM,6.4,93,5.3,3.9,0,8.7,336,0
01/01/19 10:00 PM,6.3,90,4.8,3.7,0,8.9,339,0
01/01/19 11:00 PM,6.3,86,4.1,3.5,0,9.4,342,0
01/02/19 12:00 AM,8,78,4.3,5.3,0,9.3,347,0
01/02/19 01:00 AM,7.5,80,4.3,4.9,0,8.7,355,0
01/02/19 02:00 AM,7.1,81,4,4.2,0,10.1,360,0
01/02/19 03:00 AM,7.3,83,4.6,4.6,0,9.5,9,0
01/02/19 04:00 AM,7.5,87,5.5,5.1,0,8.7,17,0
01/02/19 05:00 AM,7.1,89,5.5,4.7,0,9.2,26,0
01/02/19 06:00 AM,6.2,90,4.8,3.5,0,10,30,0
01/02/19 07:00 AM,6,89,4.4,3.1,0,10.6,24,0
01/02/19 08:00 AM,8.2,84,5.7,5.8,0,9.2,11,0
01/02/19 09:00 AM,8.6,89,6.9,6.7,0,7.3,20,59
01/02/19 10:00 AM,11.7,75,7.5,10.4,1,4.9,36,212
01/02/19 11:00 AM,13.4,71,8.2,12.3,4,4.4,9,347
01/02/19 12:00 PM,14.4,77,10.4,13.3,4,8.4,317,427
01/02/19 01:00 PM,15.1,74,10.5,13.6,4,11.3,333,453
01/02/19 02:00 PM,15.4,72,10.4,13.8,1,11.6,344,444
01/02/19 03:00 PM,15.1,72,10,13.5,1,10.9,351,381
01/02/19 04:00 PM,14.2,75,9.9,12.8,0,9.4,353,259
01/02/19 05:00 PM,11.5,88,9.6,10.5,0,6.1,357,109
