time,temperature_2m (°C),relative_humidity_2m (%),dew_point_2m (°C),apparent_temperature (°C),cloud_cover (%),wind_speed_10m (km/h),wind_direction_10m (°),shortwave_radiation (W/m²)
01/01/19 12:00 AM,10.8,70,5.5,8,6,11,52,0
01/01/19 01:00 AM,10.7,69,5.2,8,2,10.4,56,0
01/01/19 02:00 AM,10.3,69,4.8,7.5,1,10.7,57,0
01/01/19 03:00 AM,10.3,66,4.2,7.2,1,11.4,62,0
01/01/19 04:00 AM,9.8,68,4.1,7,15,9.3,62,0
01/01/19 05:00 AM,9.5,70,4.2,6.8,26,8.4,65,0
01/01/19 06:00 AM,9.7,69,4.3,7.1,22,8.2,67,0
01/01/19 07:00 AM,9.6,69,4.1,7,16,8.2,67,0
01/01/19 08:00 AM,9.4,68,3.8,6.7,13,8.2,61,1
01/01/19 09:00 AM,11.9,63,5,9.5,0,7.4,61,75
01/01/19 10:00 AM,14.7,54,5.5,12.8,0,5.4,86,235
01/01/19 11:00 AM,16.1,44,3.9,13.7,0,6.8,122,379
01/01/19 12:00 PM,16.3,47,5,13.9,0,7.9,133,475
01/01/19 01:00 PM,16.6,48,5.5,14.4,0,7.1,139,507
01/01/19 02:00 PM,16.8,48,5.7,14.8,0,6.1,152,482
01/01/19 03:00 PM,16.5,50,6,14.7,0,5.8,176,400
01/01/19 04:00 PM,15.7,56,7.1,14.1,0,5.9,191,268
01/01/19 05:00 PM,12.4,81,9.2,11.1,0,7.1,221,111
01/01/19 06:00 PM,10.6,83,7.8,8.9,0,7.6,278,6
01/01/19 07:00 PM,9.2,86,7,7.3,0,7.5,343,0
01/01/19 08:00 PM,9.8,84,7.2,8.2,0,5.9,11,0
01/01/19 09:00 PM,9.2,86,6.9,7.4,6,6.7,16,0
01/01/19 10:00 PM,8.4,85,6.1,6.7,13,4.9,17,0
01/01/19 11:00 PM,8.1,79,4.7,6.3,13,3.9,22,0
01/02/19 12:00 AM,8.5,70,3.2,6.2,3,4.7,32,0
01/02/19 01:00 AM,7.9,69,2.6,5.4,0,5.4,37,0
01/02/19 02:00 AM,7.6,70,2.6,5.2,0,5.2,34,0
01/02/19 03:00 AM,7.2,73,2.8,4.6,0,6.6,29,0
01/02/19 04:00 AM,7.2,76,3.2,4.3,0,9,29,0
01/02/19 05:00 AM,8.4,73,3.9,5.2,0,11.8,27,0
01/02/19 06:00 AM,9.3,74,4.8,6.2,0,12.2,28,0
01/02/19 07:00 AM,9.3,73,4.7,6.2,0,11.8,31,0
01/02/19 08:00 AM,9.3,72,4.6,6.3,0,11.2,33,1
01/02/19 09:00 AM,11.7,68,5.9,9.3,0,9.2,39,83
01/02/19 10:00 AM,15.1,63,8.1,13.7,0,6.1,62,242
01/02/19 11:00 AM,16.7,52,6.8,15.5,0,2.9,150,383
01/02/19 12:00 PM,17,56,8.1,15.7,0,5.3,208,477
01/02/19 01:00 PM,17.5,56,8.5,16.2,0,6.1,230,513
01/02/19 02:00 PM,18,52,8.1,16.4,0,7.1,246,489
01/02/19 03:00 PM,18,48,6.8,15.9,0,9,270,406
01/02/19 04:00 PM,17.1,51,6.9,15,0,9.1,304,274
01/02/19 05:00 PM,14.5,61,7,12.2,0,10.5,329,115
